Abbreviation,Parent,Color,0,1,2,3,4,5,6,7,8,9,10
Eastern Africa,Africa,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Middle Africa,Africa,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Southern Africa,Africa,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Western Africa,Africa,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Caribbean,Americas,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Central America,Americas,#ffffff,3805853,26749982,18373398,14981609,9164758,15013314,9410611,15378455,13709254,6808264,11136115
South America,Americas,#ffffff,128981968,133897339,112377836,76983891,73508753,51112794,36003213,45730480,59556684,98207301,107410644
Northern America,Americas,#ffffff,3115652944,4355150002,3906387362,3285549940,3061663118,1976358458,1940536010,2232148719,2586899054,3444392061,3849015046
Central Asia,Asia,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Eastern Asia,Asia,#ffffff,1096114943,1305762355,1217429343,997089739,928467392,655584529,643191688,670687593,785769486,1119664247,1220360749
South-eastern Asia,Asia,#ffffff,63313527,112182607,87942936,69808550,63278192,43016452,59859725,75817054,76533288,115401396,136224544
Southern Asia,Asia,#ffffff,1051774,3258155,3423670,2957973,4616922,1916653,1667024,5224356,8978579,40409019,21108682
Western Asia,Asia,#ffffff,28676576,26644468,28035124,16256095,18835733,13337378,13146261,13426167,18289358,22973213,26495809
Eastern Europe,Europe,#ffffff,466646242,487596759,474610766,447047473,382074014,307203172,273792337,352505431,406069263,550993359,692154719
Northern Europe,Europe,#ffffff,1190843586,1551201157,1403521703,1053824974,888111098,666609050,621682525,725324188,900080314,1188133393,1288418783
Southern Europe,Europe,#ffffff,1612625310,1755049178,1691751604,1353799544,1165860625,891747538,760037913,915658143,1036572353,1395859568,1638111934
Western Europe,Europe,#ffffff,3687555936,4435419504,3887460458,3031721869,2617772461,1967473313,1827001657,2141862647,2462519122,3328302599,3990930200
Australia and New Zealand,Oceania,#ffffff,209670795,274245092,261897004,211439972,141815049,138946340,118094352,145878698,164297135,208906671,276520560
Melanesia,Oceania,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Micronesia,Oceania,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Polynesia,Oceania,#ffffff,0,0,0,0,0,0,0,0,0,0,0
Northern Africa,Africa,#ffffff,211613952,196664337,240152818,219866576,183519460,108212743,111441688,137543951,164119696,182764012,229297391
Americas,root,#ffffff,3248440765,4515797323,4037138596,3377515440,3144336629,2042484566,1985949834,2293257654,2660164992,3549407626,3967561805
Asia,root,#ffffff,1189156820,1447847585,1336831073,1086112357,1015198239,713855012,717864698,765155170,889570711,1298447875,1404189784
Europe,root,#ffffff,6957671074,8229266598,7457344531,5886393860,5053818198,3833033073,3482514432,4135350409,4805241052,6463288919,7609615636
Oceania,root,#ffffff,209670795,274245092,261897004,211439972,141815049,138946340,118094352,145878698,164297135,208906671,276520560
Africa,root,#ffffff,211613952,196664337,240152818,219866576,183519460,108212743,111441688,137543951,164119696,182764012,229297391
ATA,root,#ffffff,0,0,0,0,0,0,0,0,0,0,0
DZA,Northern Africa,#a50f15,136483296,117878024,160655968,150380851,123621016,64801355,69972607,98050153,112828628,127284955,154067776
EGY,Northern Africa,#a50f15,14720009,12719953,11772474,12244909,8061523,4744998,6369402,6434762,7908404,9244255,10211176
MAR,Northern Africa,#a50f15,43893952,45503460,49981548,41840336,38158428,24030640,24363994,28483260,29419884,34895191,48346138
TUN,Northern Africa,#a50f15,16516695,20562900,17742828,15400480,13678493,14635750,10735685,4575776,13962780,11339611,16672301
CAN,Northern America,#ec7014,423205396,535291728,575078400,470856559,426386653,356978178,318487592,348006733,401280402,549251185,628561261
MEX,Central America,#fec44f,3805853,26749982,18373398,14981609,9164758,15013314,9410611,15378455,13709254,6808264,11136115
USA,Northern America,#ec7014,2692447548,3819858274,3331308962,2814693381,2635276465,1619380280,1622048418,1884141986,2185618652,2895140876,3220453785
ARG,South America,#fe9929,100421368,106177864,89549576,60356556,55888316,32171326,19828075,28229871,36876467,48738848,52434426
CHL,South America,#fe9929,28554720,27682532,22805784,16595241,16688961,14864257,11442517,14910068,17386127,24445327,27494860
COL,South America,#fe9929,5880,36943,22476,32094,931476,4077211,4732621,2590541,5294090,25023126,27481358
CHN,Eastern Asia,#7a0177,17189981,2655893,11223581,8144980,6181860,7170866,8457177,14757626,16149269,22728606,35898953
JPN,Eastern Asia,#7a0177,932472258,1095094718,1047752498,863589147,809752599,576164353,563311536,577332751,673546557,956331831,1021725423
KOR,Eastern Asia,#7a0177,146452704,208011744,158453264,125355612,112532933,72249310,71422975,78597216,96073660,140603810,162736373
IDN,South-eastern Asia,#ae017e,576401,13908003,4170904,3303385,11148087,5085602,4461723,5893493,6866738,6220586,11760059
MYS,South-eastern Asia,#ae017e,30346661,31902374,24021475,25658865,23442924,17880338,19333597,18154619,22582256,28509338,57061627
PHL,South-eastern Asia,#ae017e,163638,6886221,19685456,8071046,12376963,8092710,16660717,21518348,9614664,28645433,12948675
SGP,South-eastern Asia,#ae017e,32177438,59365749,37768784,32455951,15758175,11209892,18652601,29006877,36240691,50361724,52380722
THA,South-eastern Asia,#ae017e,49389,120260,2296317,319303,552043,747910,751087,1243717,1228939,1664315,2073461
IND,Southern Asia,#dd3497,1051774,3258155,3423670,2957973,4616922,1916653,1667024,5224356,8978579,40409019,21108682
TUR,Western Asia,#fa9fb5,28676576,26644468,28035124,16256095,18835733,13337378,13146261,13426167,18289358,22973213,26495809
NZL,Australia and New Zealand,#74c476,22731179,27907364,27429804,17820580,14665387,14275778,12971535,15256936,16811201,23145622,26365222
BGR,Eastern Europe,#6baed6,4583072,5817127,8136724,10565989,12777611,13677407,12552077,18134648,20953004,28572368,33394138
CZE,Eastern Europe,#6baed6,76500312,78738320,67790040,54501087,41832428,33998799,29371331,36962468,46609113,68398230,89977621
HUN,Eastern Europe,#6baed6,65794000,64542000,70202000,69239000,51195000,37448000,30317000,37921000,42186000,54142000,64469000
POL,Eastern Europe,#6baed6,227320000,251878768,232436000,201768000,155775000,104984000,96795000,129699000,144582547,186505590,206408649
ROU,Eastern Europe,#6baed6,17892000,17861000,36010000,57018000,53611000,50720000,41560000,52918064,66658382,86688697,99735956
RUS,Eastern Europe,#6baed6,33120992,24499070,10158934,13512899,30893191,31583141,34453119,41264866,45738241,70975669,120698620
SVK,Eastern Europe,#6baed6,37079328,38803528,38919824,29890984,25152557,19012914,15702445,18911455,20384446,23792642,40944398
UKR,Eastern Europe,#6baed6,4356538,5456946,10957244,10551514,10837227,15778911,13041365,16693930,18957530,31918163,36526337
DNK,Northern Europe,#4292c6,154423200,184815424,172014528,134258996,116359010,86723463,73709703,76321882,95287916,125971407,131294731
EST,Northern Europe,#4292c6,20002552,27064050,24948426,21776245,18982342,17827952,19292253,28656747,28373352,42397265,42574904
FIN,Northern Europe,#4292c6,189744144,263939216,231980864,168926730,139890363,101037517,80641929,90793873,109852032,157134272,170400062
GBR,Northern Europe,#4292c6,386019456,479836064,476370624,339419505,291146207,209880086,201951203,246670314,335116758,382495712,432177748
IRL,Northern Europe,#4292c6,13042470,17132164,14647791,19745532,15834672,15563733,15704580,22599280,23670435,28373957,30338700
LTU,Northern Europe,#4292c6,19206878,25645384,33472304,29499571,28207743,26403510,25299274,29148957,33863123,42228371,49484679
LVA,Northern Europe,#4292c6,8775654,14645895,17106158,17663571,20468896,15957209,16925952,19240404,20934840,24988342,32734045
NOR,Northern Europe,#4292c6,109535408,145065584,125868752,100293384,76653831,56277025,52912507,57049922,69171260,106041670,104620176
SWE,Northern Europe,#4292c6,290093824,393057376,307112256,222241440,180568034,136938555,135245124,154842809,183810598,278502397,294793738
ESP,Southern Europe,#08519c,476932480,548776448,513746368,419913484,325362369,242046311,215769174,275629795,303703956,417940861,486450683
GRC,Southern Europe,#08519c,82537376,90078512,65835028,50566020,53621851,43527427,42219927,53450985,69539570,85136314,89600352
HRV,Southern Europe,#08519c,52787808,66665504,56568616,44100765,36814517,26309199,24406766,27296996,32743413,40183407,48086164
ITA,Southern Europe,#08519c,847793728,894699392,904121216,707747775,632875228,488454308,403183528,474935528,533551860,733955621,872517772
PRT,Southern Europe,#08519c,123259360,125761752,122936568,106873396,96052828,74774007,59589516,70220540,78971132,97007859,116817224
SVN,Southern Europe,#08519c,29314558,29067570,28543808,24598104,21133832,16636286,14869002,14124299,18062422,21635506,24639739
AUS,Australia and New Zealand,#74c476,186939616,246337728,234467200,193619392,127149662,124670562,105122817,130621762,147485934,185761049,250155338
CHE,Western Europe,#2171b5,189714240,187542256,217177792,170639664,156747644,131188555,121491036,149571204,155803790,244844632,253007389
DEU,Western Europe,#2171b5,1993635072,2584169984,2299670016,1765199104,1480933000,1095859000,1005989000,1124586000,1363847000,1923910000,2346024000
FRA,Western Europe,#2171b5,970996928,1109954432,1007253568,766994560,637889287,492621478,477900134,562553051,608775210,764108031,919394951
NLD,Western Europe,#2171b5,533209696,553752832,363359082,328888541,342202530,247804280,221621487,305152392,334093122,395439936,472503860
